start	end
620	624
100700	100704
200860	200864
301020	301024
401180	401184
501340	501344
601500	601504
701660	701664
801824	801832
901980	901984
1002140	1002144
1102300	1102304
1202460	1202464
1302620	1302624
1402780	1402784
1502940	1502944
1603100	1603104
1703260	1703264
1803420	1803424
1903580	1903584
2003740	2003744
2103900	2103904
2204060	2204064
2304220	2304224
2404384	2404392
2504540	2504544
2604700	2604704
2704860	2704864
2805020	2805024
2905180	2905184
3005340	3005344
3105500	3105504
3205660	3205664
3305820	3305824
3405980	3405984
3506140	3506144
3606300	3606304
3706460	3706464
3806620	3806624
3906780	3906784
4006944	4006952
4107100	4107104
4207260	4207264
4307420	4307424
4407580	4407584
4507740	4507744
4607900	4607904
4708060	4708064
4808220	4808224
4908380	4908384